user_id,user_name,item_id,item_name,item_calories,item_protein,item_carbs,item_fat,item_fiber,suggestion_date
1,SachinTendulkar,1,"Chicken Breast",165,31,0,3.6,0,2022-05-01
1,SachinTendulkar,3,"Brown Rice",216,5,45,1.8,3.5,2022-05-02
2,ViratKohli,5,Quinoa,222,8,39,3.6,5.2,2022-05-15
3,RickyPonting,7,Almonds,576,21,22,49,12.2,2022-05-01
4,SteveSmith,9,"Greek Yogurt",59,10,3.9,0.4,0,2022-05-15
5,JoeRoot,11,Spinach,23,2.9,3.6,0.4,2.2,2022-05-01
5,JoeRoot,13,"Cottage Cheese",98,11,3.4,4.3,0,2022-05-02
6,KaneWilliamson,15,"Whole Wheat Bread",69,3.6,12,1.1,1.9,2022-05-15
7,RohitSharma,17,Walnuts,654,15,14,65,6.7,2022-05-01
8,DavidWarner,19,Blueberries,57,0.7,14,0.3,2.4,2022-05-15
9,BabarAzam,21,Tofu,76,8,1.9,4.8,0.3,2022-05-01
9,BabarAzam,23,Lentils,116,9,20,0.4,7.9,2022-05-02
10,QuintonDeKock,25,"Bell Peppers",20,1,5,0.2,1.7,2022-05-15
11,FafDuPlessis,27,Chickpeas,164,8.9,27,2.6,7.6,2022-05-01
12,RossTaylor,29,Mushrooms,22,3.1,3.3,0.3,1,2022-05-15
13,JosButtler,31,Zucchini,17,1.2,3.1,0.3,1,2022-05-01
13,JosButtler,33,Kale,49,4.3,8.8,0.9,3.6,2022-05-02
14,EoinMorgan,35,Cabbage,25,1.3,5.8,0.1,2.5,2022-05-15
23,ABDeVilliers,1,"Chicken Breast",165,31,0,3.6,0,2022-05-01
23,ABDeVilliers,3,"Brown Rice",216,5,45,1.8,3.5,2022-05-02
24,EllysePerry,5,Quinoa,222,8,39,3.6,5.2,2022-05-15
25,MegLanning,7,Almonds,576,21,22,49,12.2,2022-05-01
26,MithaliRaj,9,"Greek Yogurt",59,10,3.9,0.4,0,2022-05-15
27,SmritiMandhana,11,Spinach,23,2.9,3.6,0.4,2.2,2022-05-01
27,SmritiMandhana,13,"Cottage Cheese",98,11,3.4,4.3,0,2022-05-02
28,SuzieBates,15,"Whole Wheat Bread",69,3.6,12,1.1,1.9,2022-05-15
29,HeatherKnight,17,Walnuts,654,15,14,65,6.7,2022-05-01
30,StafanieTaylor,19,Blueberries,57,0.7,14,0.3,2.4,2022-05-15
31,SophieDevine,21,Tofu,76,8,1.9,4.8,0.3,2022-05-01
31,SophieDevine,23,Lentils,116,9,20,0.4,7.9,2022-05-02
32,DaneVanNiekerk,25,"Bell Peppers",20,1,5,0.2,1.7,2022-05-15
